Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,6.783000,6.783000,6.783000,6.843000,6.843000,0
2013-01-04,6.719800,6.719800,6.719800,6.783000,6.783000,0
2013-01-07,6.810100,6.810100,6.807800,6.719800,6.719800,0
2013-01-08,6.757300,6.757300,6.757300,6.807800,6.807800,0
2013-01-09,6.731900,6.731900,6.731900,6.757300,6.757300,0
2013-01-10,6.807400,6.807400,6.791900,6.731900,6.731900,0
2013-01-11,6.897300,6.897300,6.897300,6.791900,6.791900,0
2013-01-14,6.969300,6.969300,6.969300,6.897300,6.897300,0
2013-01-15,6.969300,6.969300,6.960800,6.969300,6.969300,0
2013-01-16,6.960800,6.960800,6.916500,6.960800,6.960800,0
2013-01-17,6.943400,6.943400,6.943400,6.916500,6.916500,0
2013-01-18,6.970100,6.970100,6.970100,6.943400,6.943400,0
2013-01-21,6.970100,6.982800,6.970100,6.970100,6.970100,0
2013-01-22,6.987300,6.987300,6.987300,6.982800,6.982800,0
2013-01-23,6.955000,6.955000,6.955000,6.987300,6.987300,0
2013-01-24,6.941700,6.941700,6.941700,6.955000,6.955000,0
2013-01-25,7.031900,7.031900,7.031900,6.941700,6.941700,0
2013-01-28,7.035300,7.035300,7.035300,7.031900,7.031900,0
2013-01-29,7.092000,7.092000,7.092000,7.035300,7.035300,0
2013-01-30,7.193400,7.193400,7.193400,7.092000,7.092000,0
2013-01-31,7.231900,7.231900,7.231900,7.193400,7.193400,0
2013-02-01,7.237500,7.237500,7.237500,7.231900,7.231900,0
2013-02-04,7.237500,7.237500,7.126900,7.237500,7.237500,0
2013-02-05,7.125300,7.125300,7.125300,7.126900,7.126900,0
2013-02-06,7.152300,7.152300,7.152300,7.125300,7.125300,0
2013-02-07,7.108500,7.108500,7.108500,7.152300,7.152300,0
2013-02-08,7.008400,7.008400,7.008400,7.108500,7.108500,0
2013-02-11,6.991900,6.991900,6.991900,7.008400,7.008400,0
2013-02-12,7.039300,7.039300,7.039300,6.991900,6.991900,0
2013-02-13,7.089900,7.089900,7.089900,7.039300,7.039300,0
2013-02-14,7.015600,7.015600,7.015600,7.089900,7.089900,0
2013-02-15,6.978500,6.978500,6.978500,7.015600,7.015600,0
2013-02-18,6.978500,7.003000,6.978500,6.978500,6.978500,0
2013-02-19,6.975000,6.975000,6.975000,7.003000,7.003000,0
2013-02-20,7.016000,7.016000,7.016000,6.975000,6.975000,0
2013-02-21,7.016000,7.016000,6.918900,7.016000,7.016000,0
2013-02-22,6.919900,6.919900,6.919900,6.918900,6.918900,0
2013-02-25,6.985400,6.985400,6.985400,6.919900,6.919900,0
2013-02-26,6.915300,6.915300,6.915300,6.985400,6.985400,0
2013-02-27,6.924500,6.924500,6.924500,6.915300,6.915300,0
2013-02-28,6.905000,6.905000,6.905000,6.924500,6.924500,0
2013-03-01,6.858900,6.858900,6.858900,6.905000,6.905000,0
2013-03-04,6.847400,6.847400,6.847400,6.858900,6.858900,0
